asof_date,effective_from,sector_code,sector_name,etf_code,etf_name,index_code,index_name,listing_sessions,recent_completeness,median_amount20,n_obs,score_before_tracking_penalty,eligible_before_index_gap,reject_reason,corr120,corr60,beta,r2,tracking_error,tracking_error_rank,mapping_score,selected,runner_up_index_gap,effective_to
20181031,20181101,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,303,1.0,54769.1115,120,0.8379752068901543,True,,0.9434906050952288,0.9308149042283824,0.9788467858977148,0.8901745219029611,0.05692750493940698,0.5,0.7879752068901542,True,,20181203
20190228,20190301,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,622,1.0,52363.1725,120,0.5600220954674583,True,,0.6547842094126032,0.6732745465069742,1.3090328309010053,0.42874236089608764,0.11426735786282259,0.75,0.4850220954674583,True,,20190401
20190329,20190401,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,403,1.0,121647.56450000001,120,0.7821852257206344,True,,0.8891858732128327,0.8759782461841115,0.852052576762479,0.7906515171212678,0.08624357383100537,1.0,0.6821852257206344,True,,20190506
20190329,20190401,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,643,1.0,138273.888,120,0.6306783214318427,True,,0.7086876728850778,0.8039950093376549,1.4007131683635832,0.502238217699267,0.12496717697334656,0.75,0.5556783214318426,True,,20190506
20190430,20190506,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,424,1.0,128564.3215,120,0.787902022952651,True,,0.8938728667110241,0.8844571372832453,0.8922892380549069,0.7990087018421843,0.08247872075320405,0.6666666666666666,0.7212353562859843,True,,20190603
20190430,20190506,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,664,1.0,97242.715,120,0.6508214025170511,True,,0.7569525611278937,0.745594179933571,1.4206013354110694,0.5729771797980772,0.11548821281373288,0.75,0.5758214025170512,True,,20190603
20190531,20190603,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,444,1.0,55933.1,120,0.751666301180915,True,,0.867073841196745,0.8214272946775635,0.8338848464027655,0.751817046087678,0.09116206939849032,0.6666666666666666,0.6849996345142484,True,,20190701
20190531,20190603,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,684,1.0,69089.1495,120,0.676191716544242,True,,0.7694725312619406,0.810569017833092,1.387406968033967,0.592087976366658,0.11536591906090947,0.75,0.601191716544242,True,,20190701
20190628,20190701,881155.TI,银行,512800.SH,华宝中证银行ETF,399986.SZ,中证银行,463,1.0,58055.974,120,0.7639443930682519,True,,0.8688672285068721,0.8650849587953356,0.8430563951939335,0.7549302607732133,0.0921206565636511,0.6666666666666666,0.6972777264015853,True,,20190801
20190628,20190701,885700.TI,军工,512660.SH,国泰中证军工ETF,399967.SZ,中证军工,703,1.0,74126.235,120,0.6430252886984349,True,,0.7666690590480717,0.6860941690366029,1.3887091865279158,0.5877814461016554,0.11733454410900301,0.75,0.5680252886984349,True,,20190801
